Gene,Protein class
MARS,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
MARS2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MARVELD1,Predicted membrane proteins
MARVELD2,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
MARVELD3,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
MAS1,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
MAS1L,"G-protein coupled receptors, Predicted membrane proteins"
MASP1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
MASP2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
MAST1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
MAST2,"Cancer-related genes, Enzymes, Predicted membrane proteins"
MAST3,"Enzymes, Predicted intracellular proteins"
MAST4,"Enzymes, Predicted intracellular proteins"
MASTL,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MAT1A,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MAT2A,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAT2B,Predicted intracellular proteins
MATK,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
MATN1,Predicted secreted proteins
MATN2,"Predicted intracellular proteins, Predicted secreted proteins"
MATN3,"Disease related genes, Predicted secreted proteins"
MATN4,"Plasma proteins, Predicted secreted proteins"
MATR3,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
MAU2,Predicted intracellular proteins
MAVS,Predicted membrane proteins
MAX,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
MAZ,"Predicted intracellular proteins, Transcription factors"
MB,"Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Transporters"
MB21D2,Predicted intracellular proteins
MBD1,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
MBD2,"Cancer-related genes, Predicted intracellular proteins"
MBD3,Predicted intracellular proteins
MBD3L1,Predicted intracellular proteins
MBD3L2,Predicted intracellular proteins
MBD3L2B,Predicted intracellular proteins
MBD3L3,Predicted intracellular proteins
MBD3L4,Predicted intracellular proteins
MBD3L5,Predicted intracellular proteins
MBD4,"Cancer-related genes, Predicted intracellular proteins"
MBD5,"Disease related genes, Predicted intracellular proteins"
MBD6,Predicted intracellular proteins
MBIP,Predicted intracellular proteins
MBL2,"Plasma proteins, Predicted secreted proteins"
MBLAC1,Predicted intracellular proteins
MBLAC2,Predicted intracellular proteins
MBNL1,"Disease related genes, Predicted intracellular proteins"
MBNL2,Predicted intracellular proteins
MBNL3,Predicted intracellular proteins
MBOAT1,"Enzymes, Predicted membrane proteins"
MBOAT2,"Enzymes, Predicted membrane proteins"
MBOAT4,Predicted membrane proteins
MBOAT7,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
MBP,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
MBTD1,"Disease related genes, Predicted intracellular proteins"
MBTPS1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
MBTPS2,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
MC1R,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
MC2R,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
MC3R,"G-protein coupled receptors, Predicted membrane proteins"
MC4R,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Transporters"
MC5R,"G-protein coupled receptors, Predicted membrane proteins"
MCAM,"CD markers, Plasma proteins, Predicted membrane proteins"
MCAT,"Enzymes, Predicted intracellular proteins"
MCC,Predicted intracellular proteins
MCCC1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MCCC2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MCCD1,Predicted intracellular proteins
MCEE,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MCEMP1,Predicted membrane proteins
MCF2,"Plasma proteins, Predicted intracellular proteins"
MCF2L,Predicted intracellular proteins
MCF2L2,"Disease related genes, Predicted intracellular proteins"
MCFD2,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
MCHR1,"G-protein coupled receptors, Predicted membrane proteins, Transporters"
MCHR2,"G-protein coupled receptors, Predicted membrane proteins"
MCIDAS,Predicted intracellular proteins
MCL1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MCM10,Predicted intracellular proteins
MCM2,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MCM3,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
MCM3AP,"Predicted intracellular proteins, Transporters"
MCM4,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MCM5,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MCM6,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MCM7,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
MCM8,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MCM9,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MCMBP,Predicted intracellular proteins
MCMDC2,Predicted intracellular proteins
MCOLN1,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
MCOLN2,"Predicted membrane proteins, Transporters, Voltage-gated ion channels"
MCOLN3,"Predicted membrane proteins, Transporters, Voltage-gated ion channels"
MCPH1,"Disease related genes, Predicted intracellular proteins"
MCRIP1,Predicted intracellular proteins
MCRIP2,Predicted intracellular proteins
MCRS1,"Plasma proteins, Predicted intracellular proteins"
MCTP1,"Predicted intracellular proteins, Predicted membrane proteins"
MCTP2,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
MCTS1,Predicted intracellular proteins
MCU,"Predicted intracellular proteins, Predicted membrane proteins"
MCUB,"Predicted membrane proteins, Transporters"
MCUR1,"Predicted intracellular proteins, Predicted membrane proteins"
MDC1,"Cancer-related genes, Predicted intracellular proteins"
MDFI,Predicted intracellular proteins
MDFIC,"Predicted intracellular proteins, Predicted membrane proteins"
MDFIC2,Predicted intracellular proteins
MDGA1,Predicted intracellular proteins
MDGA2,"Predicted intracellular proteins, Predicted membrane proteins"
MDH1,"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins"
MDH1B,Predicted intracellular proteins
MDH2,"Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
MDK,"Cancer-related genes, Predicted secreted proteins"
MDM1,"Predicted intracellular proteins, Predicted membrane proteins"
MDM2,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MDM4,"Cancer-related genes, Predicted intracellular proteins"
MDN1,"Plasma proteins, Predicted intracellular proteins"
MDP1,"Enzymes, Predicted intracellular proteins"
ME1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ME2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ME3,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MEA1,"Plasma proteins, Predicted intracellular proteins"
MEAF6,"Disease related genes, Predicted intracellular proteins"
MECOM,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
MECP2,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
MECR,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MED1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
MED10,Predicted intracellular proteins
MED11,Predicted intracellular proteins
MED12,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
MED12L,Predicted intracellular proteins
MED13,"Cancer-related genes, Predicted intracellular proteins"
MED13L,"Disease related genes, Predicted intracellular proteins"
MED14,Predicted intracellular proteins
MED15,Predicted intracellular proteins
MED16,Predicted intracellular proteins
MED17,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
MED18,Predicted intracellular proteins
MED19,Predicted intracellular proteins
MED20,Predicted intracellular proteins
MED21,Predicted intracellular proteins
MED22,Predicted intracellular proteins
MED23,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
MED24,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MED25,"Disease related genes, Predicted intracellular proteins"
MED26,Predicted intracellular proteins
MED27,Predicted intracellular proteins
MED28,Predicted intracellular proteins
MED29,Predicted intracellular proteins
MED30,Predicted intracellular proteins
MED31,Predicted intracellular proteins
MED4,Predicted intracellular proteins
MED6,Predicted intracellular proteins
MED7,Predicted intracellular proteins
MED8,"Plasma proteins, Predicted intracellular proteins"
MED9,Predicted intracellular proteins
MEDAG,Predicted intracellular proteins
MEF2A,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
MEF2B,"Predicted intracellular proteins, Transcription factors"
MEF2C,"Disease related genes, Predicted intracellular proteins, Transcription factors"
MEF2D,"Predicted intracellular proteins, Transcription factors"
MEFV,"Disease related genes, Predicted intracellular proteins"
MEGF10,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
MEGF11,"Predicted intracellular proteins, Predicted membrane proteins"
MEGF6,"Predicted intracellular proteins, Predicted secreted proteins"
MEGF8,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MEGF9,"Plasma proteins, Predicted membrane proteins"
MEI1,"Predicted intracellular proteins, Predicted secreted proteins"
MEI4,Predicted intracellular proteins
MEIG1,Predicted intracellular proteins
MEIKIN,Predicted intracellular proteins
MEIOB,"Disease related genes, Predicted intracellular proteins"
MEIOC,Predicted intracellular proteins
MEIS1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
MEIS2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
MEIS3,"Predicted intracellular proteins, Transcription factors"
MELK,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
MELTF,"CD markers, Plasma proteins, Predicted intracellular proteins"
MEMO1,"Predicted intracellular proteins, Predicted membrane proteins"
MEN1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
MEOX1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
MEOX2,"Predicted intracellular proteins, Transcription factors"
MEP1A,"Enzymes, Plasma proteins, Predicted membrane proteins"
MEP1B,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
MEPCE,Predicted intracellular proteins
MEPE,"Predicted intracellular proteins, Predicted secreted proteins"
MERTK,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
MESD,Predicted intracellular proteins
MESP1,"Predicted intracellular proteins, Transcription factors"
MESP2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
MEST,Predicted intracellular proteins
MET,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"
METAP1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
METAP1D,"Enzymes, Predicted intracellular proteins"
METAP2,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
METRN,"Predicted intracellular proteins, Predicted secreted proteins"
METRNL,"Predicted intracellular proteins, Predicted secreted proteins"
